,Age,DailyRate,Education,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MonthlyRupiah,BonusScore,FinalBonus
153,45,194,3,60,3,2,2,2348,0,3,20,2,17,9,0,15,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2908821,190.99410210274738,4484
154,32,967,3,43,3,3,4,8998,0,3,9,2,9,8,3,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11147175,194.24559635390952,17478
155,29,1496,1,41,3,2,3,4319,0,3,10,1,10,7,0,9,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5350595,184.8155535330774,7982
156,51,1169,4,34,2,2,3,6132,0,3,10,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7596630,151.91629974940926,9315
157,58,1145,3,75,2,1,2,3346,1,4,9,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4145193,142.98225501312763,4784
158,40,630,4,67,2,3,4,10855,0,3,15,2,12,11,2,11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,13447721,181.02190644099056,19649
159,34,303,4,75,3,1,3,2231,0,3,6,3,4,3,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2763875,128.9516651794886,2876
160,22,1256,1,80,3,1,4,2323,0,4,2,6,2,2,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2877849,149.62551014772947,3475
161,27,691,3,57,3,1,2,2024,0,3,6,1,2,2,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2507433,147.8237911582317,2991
162,28,440,3,42,3,1,4,2713,0,3,5,2,5,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3361001,153.41116232200991,4162
163,57,334,2,83,4,3,4,9439,1,3,12,2,5,3,1,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11693508,194.7372924675617,18381
164,27,1450,3,79,2,1,3,2566,1,3,1,2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3178890,136.91733018402653,3513
165,50,1452,3,53,3,5,2,19926,0,3,21,5,5,4,4,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,24685332,206.40237367556884,41127
166,41,465,3,56,3,1,3,2451,0,3,13,2,9,8,1,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3036422,161.1473117494942,3949
167,30,1339,3,41,3,3,4,9419,0,3,12,2,10,9,7,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11668731,197.71436953457498,18622
168,38,702,4,59,2,2,4,8686,0,4,12,2,8,3,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10760654,177.5128374098471,15418
169,32,120,5,43,3,1,3,3038,0,4,8,2,5,4,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3763627,156.64415223637832,4758
170,27,1157,3,51,3,1,2,3058,1,3,6,3,5,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3788404,159.80766746671532,4886
171,19,602,1,100,1,1,1,2325,0,4,1,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2880327,141.26445052119362,3284
172,36,1480,2,30,3,1,2,2088,0,3,13,3,8,7,7,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2586720,156.37283374106488,3265
173,30,111,3,66,3,2,1,3072,0,3,12,4,12,9,6,10,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3805748,182.51115766568404,5606
174,45,1268,2,30,3,2,1,5006,1,3,9,3,5,4,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6201685,181.21907272525323,9071
175,56,713,3,67,3,1,1,4257,1,3,19,3,2,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5273786,152.33577109507027,6484
176,33,134,3,90,3,1,4,2500,0,3,4,2,3,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3097126,145.04988843556484,3626
177,19,303,3,47,2,1,4,1102,0,4,1,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1365213,152.4819932367226,1680
178,46,526,2,92,3,3,1,10453,0,4,24,2,24,13,15,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,12949703,242.43547064214954,25341
179,38,1380,2,75,3,1,4,2288,0,3,2,3,2,2,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2834490,128.96304428336555,2950
180,31,140,1,95,3,1,4,3929,1,4,7,0,4,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4867443,175.878534876552,6910
181,34,629,2,95,3,1,2,2311,0,3,9,3,3,2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2862983,142.1381731306738,3284
182,41,1356,2,70,3,1,2,3140,1,4,4,5,4,3,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3889990,185.3918311697087,5821
183,50,328,3,86,2,1,3,3690,0,3,5,2,3,2,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4571358,143.52594730042512,5296
184,53,1084,2,57,4,2,1,4450,0,3,5,3,4,2,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5512884,175.79489230145504,7822
185,33,931,3,72,3,1,2,2756,0,3,8,5,8,7,1,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3414272,160.37814671277232,4420
186,40,989,1,46,3,5,3,19033,0,3,21,2,20,8,9,9,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,23579039,256.28022171071467,48777
187,55,692,4,61,4,5,2,18722,0,3,36,3,24,15,2,15,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,23193756,267.18963584828805,50023
188,34,1069,1,45,2,2,3,9547,0,3,10,2,10,9,1,9,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11827304,173.79817736924124,16592
189,51,313,3,98,3,4,2,13734,0,3,21,6,7,7,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,17014371,210.40877712964047,28897
190,52,699,4,65,2,5,3,19999,0,3,34,5,33,18,11,9,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,24775768,274.0032977209578,54797
191,27,894,3,99,3,1,2,2279,0,3,7,2,7,7,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2823340,140.15701338715584,3194
192,35,556,2,50,2,2,3,5916,1,3,8,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7329039,160.49778602163795,9495
193,43,1344,3,37,4,1,4,2089,0,3,7,3,5,4,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2587958,148.2357967280135,3096
194,45,1195,2,65,2,4,4,16792,0,4,22,1,20,8,11,8,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,20802775,242.30928650332805,40688
195,37,290,3,65,4,1,1,3564,1,3,8,3,8,7,1,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4415263,171.94723517559046,6128
196,35,138,3,37,3,2,2,4425,0,3,10,5,6,2,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5481913,151.77595919889083,6716
197,42,926,2,36,3,2,3,5265,0,3,11,5,5,3,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6522547,169.1323650691234,8904
198,38,1261,4,88,3,2,3,6553,0,3,14,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8118186,154.5038027756032,10124
199,38,1084,3,54,3,2,4,6261,0,3,9,3,7,7,1,7,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7756442,167.17837991038354,10467
200,27,472,1,60,2,2,1,4298,0,3,6,1,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5324579,165.27925929669192,7103
201,49,1002,4,92,3,2,4,6804,1,3,7,0,7,7,1,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8429138,158.78475088830348,10803
202,34,878,4,43,3,1,3,3815,1,3,5,4,5,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4726214,163.52212847317307,6238
203,40,905,2,99,3,2,4,2741,1,3,15,2,7,2,3,7,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3395689,175.98141656658922,4823
204,38,1180,1,70,3,2,1,6673,1,3,17,2,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8266848,172.15374051685103,11487
205,29,121,3,35,3,3,4,7639,0,4,10,3,10,4,1,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9463578,213.82511958142553,16334
206,22,1136,3,60,4,1,2,2328,1,3,4,2,4,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2884044,160.7133791411495,3741
207,36,635,1,73,3,1,4,2153,0,3,8,2,8,1,1,7,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2667245,140.38046906721559,3022
208,40,1151,5,63,2,2,4,4876,0,3,5,5,3,2,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6040634,144.2238196271522,7032
209,46,644,4,97,3,3,1,9396,0,3,17,3,4,2,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11640238,179.36051331802653,16852
210,32,1045,4,32,1,3,4,10400,0,3,14,2,14,8,9,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,12884044,202.31718079189804,21040
211,30,829,1,88,2,3,3,8474,0,4,12,2,11,8,5,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10498018,201.7604348193695,17097
212,27,1242,3,90,3,2,3,9981,0,3,7,2,7,7,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12364965,168.58543595180853,16826
213,51,1469,4,81,2,3,2,12490,0,3,16,5,10,9,4,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15473241,189.37704948672027,23653
214,30,1005,3,88,3,1,1,2657,1,3,8,5,5,2,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3291625,168.11029065483308,4466
215,41,896,3,75,3,3,4,13591,1,3,16,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,16837215,174.6135672819665,23731
216,30,334,4,52,2,2,1,6696,0,3,9,5,6,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8295342,175.26220600965885,11735
217,29,992,3,85,3,1,3,2058,0,3,7,1,6,2,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2549554,152.32269107258568,3134
218,45,1052,3,57,2,3,4,8865,0,3,23,2,19,7,12,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10982408,204.73634458016332,18149
219,54,1147,3,52,3,2,1,5940,0,3,16,4,6,2,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7358771,160.08453290417754,9509
220,36,1396,2,62,3,2,2,5914,0,3,16,3,13,11,3,7,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7326561,185.3388790338814,10960
221,33,147,4,47,2,1,2,2622,0,4,7,3,3,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3248266,154.20447164720184,4043
222,37,663,3,47,3,3,4,12185,1,3,10,1,10,8,0,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,15095391,208.35483050655213,25388
223,38,119,3,76,3,3,3,10609,0,3,17,6,16,10,5,13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13142963,217.4622930790521,23070
224,31,979,4,90,1,2,3,4345,0,3,6,2,5,4,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5382805,134.41535328339853,5840
225,59,142,3,70,2,1,4,2177,0,3,7,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2696977,137.17505307516367,2986
226,37,319,4,41,3,1,4,2793,0,3,13,2,9,8,5,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3460109,156.58319890668292,4373
227,29,1413,1,42,3,3,4,7918,0,3,11,5,11,10,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9809217,199.72235287918883,15814
228,35,944,3,92,3,3,3,8789,0,3,10,3,10,7,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10888256,202.00314399169483,17754
229,29,896,1,86,2,1,4,2389,1,3,4,3,4,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2959613,147.1328135888684,3515
230,52,1323,3,89,2,1,4,3212,0,3,6,3,2,2,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3979187,134.68794049590508,4326
231,42,532,2,58,3,5,4,19232,0,3,22,3,22,17,11,15,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,23825570,250.81805627755475,48237
232,59,818,2,52,3,1,3,2267,0,3,7,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2808474,138.57903937299506,3141
233,50,854,4,68,3,5,4,19517,0,3,32,3,7,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,24178642,212.7731122403501,41526
234,33,813,3,58,3,1,4,2436,1,3,8,2,5,4,0,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3017839,160.4952004295232,3909
235,43,1034,3,80,3,4,4,16064,1,4,22,3,17,13,1,9,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,19900892,259.50272603719924,41686
236,33,465,2,39,3,1,1,2707,0,4,13,3,9,7,1,7,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3353568,164.08235972993953,4441
237,52,771,4,79,2,5,3,19068,1,3,33,2,33,7,15,12,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,23622398,283.8973656034702,54133
238,32,1401,2,56,3,1,2,3931,0,3,6,5,4,3,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4869921,146.71126874691703,5767
239,32,515,3,62,2,1,3,3730,1,3,4,2,3,2,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4620912,133.55993376540974,4981
240,39,1431,4,96,3,1,3,2232,0,3,7,1,3,2,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2765114,142.5890918676864,3182
241,32,976,4,100,3,2,4,4465,0,3,4,2,3,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5531467,164.26222275559417,7334
242,41,1411,2,36,3,2,1,3072,0,3,17,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3805748,152.1490272789303,4674
243,40,1300,2,62,3,2,4,3319,0,3,9,3,9,8,4,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4111744,170.45307283038977,5657
244,45,252,3,70,4,5,4,19202,0,3,25,2,24,0,1,7,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,23788404,258.92518043164233,49718
245,31,1327,4,73,3,3,3,13675,0,3,9,3,2,2,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16941278,169.81325508641942,23221
246,33,832,4,63,2,1,4,2911,0,3,2,2,2,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3606293,136.23201196667102,3965
247,34,470,4,84,2,2,1,5957,0,3,13,3,11,9,5,9,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7379832,171.79597975098446,10233
248,37,1017,2,83,2,1,1,3920,0,3,17,2,3,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4856293,135.71958030243448,5320
249,45,1199,4,77,4,2,3,6434,0,3,9,1,3,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7970763,169.446501395964,10902
250,37,504,3,61,3,3,3,10048,0,3,17,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,12447968,163.62940705014725,16441
251,39,505,4,64,3,3,3,10938,0,4,20,1,19,6,11,8,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13550545,225.41216550742536,24655
252,29,665,3,60,3,1,4,2340,0,3,6,1,6,5,1,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2898910,145.68854315716283,3409
253,42,916,2,82,4,2,1,6545,1,3,10,1,3,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8108276,169.34990926113048,11083
254,29,1247,2,45,3,2,4,6931,0,3,10,2,3,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8586472,153.5981473595937,10645
255,25,685,3,62,3,2,3,4898,0,3,5,3,4,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6067889,159.07729050997455,7791
256,42,269,3,56,2,1,1,2593,1,3,10,4,9,6,7,8,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3212339,166.70957258322196,4322
257,40,1416,2,49,3,5,3,19436,0,3,22,5,21,7,3,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,24078295,242.54560395001397,47141
258,51,833,3,96,3,1,4,2723,0,3,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3373389,142.26025388257236,3873
259,31,307,2,71,2,1,2,3479,0,3,6,2,5,4,1,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4309960,129.32199617001112,4499
260,32,1311,3,100,4,1,2,2794,0,4,5,3,5,1,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3461348,162.5947822474092,4542
261,38,1327,2,39,2,2,4,5249,0,3,13,0,8,7,7,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6502725,171.08166663832228,8980
262,32,128,1,84,2,2,1,2176,0,3,9,5,6,2,0,4,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2695738,151.04604181469887,3286
263,46,488,3,75,1,4,2,16872,1,3,28,2,7,7,7,7,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,20901883,200.97292827077607,33908
264,28,529,4,79,3,1,3,3485,0,3,5,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4317393,139.33371822225052,4855
265,29,1210,3,78,2,2,2,6644,0,3,10,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8230922,144.90417903537846,9627
266,31,1463,3,64,2,2,4,5582,0,4,10,2,9,0,7,8,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6915263,191.0552271401338,10664
267,25,675,2,85,4,2,1,4000,0,3,6,2,6,3,1,5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4955401,174.83154817141002,6993
268,45,1385,2,79,3,4,4,13496,1,3,21,2,20,7,4,10,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,16719524,226.08013726849777,30511
269,36,1403,3,47,3,1,4,3210,0,3,16,4,15,13,10,11,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3976710,170.76226771185696,5481
270,55,452,3,81,3,5,1,19045,1,3,37,2,36,10,4,13,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,23593905,301.6645185608691,57452
271,47,666,4,88,3,3,2,11849,1,3,10,2,10,7,9,9,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,14679138,196.7407691964324,23311
272,28,1158,3,94,3,1,4,2070,0,4,5,3,5,2,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2564420,171.17983372538288,3543
273,37,228,4,98,3,2,4,6502,0,3,7,5,5,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8055005,167.8281604561869,10912
274,21,996,2,100,2,1,3,3230,0,3,3,4,3,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4001487,133.15827760077715,4301
275,37,728,4,80,3,3,4,13603,1,3,15,2,5,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16852081,189.9804992053591,25843
276,35,1315,3,71,4,3,2,11996,0,3,10,6,7,7,6,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,14861249,194.6541637302566,23350
277,38,322,2,44,4,2,1,5605,1,4,8,3,8,0,7,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6943756,215.36022272971658,12070
278,26,1479,3,84,3,2,2,6397,0,4,6,6,6,5,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7924926,177.18904681467328,11334
279,50,797,1,96,3,5,2,19144,0,3,28,4,10,4,1,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,23716551,218.76795567871835,41880
280,53,1070,4,45,3,4,3,17584,1,3,21,5,5,3,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,21783944,215.31525084615697,37861
281,42,635,1,99,3,2,3,4907,0,4,20,3,20,16,11,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6079039,213.56683906110277,10479
282,29,442,2,44,3,2,4,4554,0,3,10,3,10,7,0,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5641724,168.82708327423313,7688
283,55,147,2,37,3,2,4,5415,1,3,12,4,10,7,0,8,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6708375,182.76972005245997,9896
284,26,496,2,60,3,2,1,4741,1,3,5,3,5,3,3,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5873389,156.5172859716575,7420
285,37,1372,3,42,3,1,4,2115,0,3,17,3,17,12,5,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2620168,183.98435576565,3891
286,44,920,3,43,3,1,3,3161,1,4,19,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3916006,162.7079131843732,5143
287,38,688,4,82,3,2,4,5745,0,3,10,2,2,2,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7117195,164.44112378126795,9447
288,26,1449,4,45,3,1,2,2373,1,3,5,2,3,2,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2939792,156.69242863239066,3718
289,28,1117,2,66,3,1,4,3310,0,4,5,3,5,3,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4100595,163.10861567523327,5398
290,49,636,4,35,3,5,1,18665,1,3,22,4,3,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,23123142,215.92022357536308,40301
291,36,506,3,30,3,2,2,4485,0,3,10,2,8,0,7,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5556244,157.07497284881322,7044
292,31,444,3,84,3,1,2,2789,0,3,2,5,2,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3455154,148.0535972814554,4129
293,26,950,4,48,2,2,4,5828,1,3,8,0,8,7,7,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7220020,166.98359232244582,9731
294,37,889,3,53,3,1,4,2326,1,3,4,3,4,2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2881566,165.63720262898786,3852
295,42,555,3,77,3,4,2,13525,0,3,23,2,20,4,4,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,16755451,221.28754846204797,29929
296,18,230,3,54,3,1,3,1420,0,3,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1759167,137.21428147042985,1948
297,35,1232,3,96,3,3,2,8020,0,3,12,3,11,9,6,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9935580,199.69168517391927,16015
298,36,566,4,81,4,1,4,3688,0,3,4,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4568880,142.80476152987228,5266
299,51,1302,3,84,1,2,2,5482,0,3,13,3,4,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6791378,141.83213821694787,7775
300,41,334,4,88,3,4,2,16015,0,3,22,2,22,10,0,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,19840188,233.02610348738955,37319
301,18,812,3,69,2,1,3,1200,0,3,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1486620,122.95025410333052,1475
302,28,1476,2,68,4,2,1,5661,0,3,9,2,8,3,0,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7013132,182.47721422124525,10330
303,31,218,3,100,4,2,4,6929,0,3,10,3,8,7,7,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8583994,178.33951859756084,12357
304,39,1132,3,48,4,3,4,9613,0,3,19,5,18,10,3,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11909068,218.27655608722475,20982
305,36,1105,4,47,3,2,2,5674,0,3,11,3,9,8,0,8,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7029237,166.77296837838003,9462
306,32,906,3,91,2,2,3,5484,0,3,13,3,13,8,4,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6793855,174.2084990727382,9553
307,38,849,2,81,2,3,2,12061,0,3,19,2,10,8,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,14941774,178.60509117000345,21541
308,58,390,4,32,1,2,3,5660,1,3,12,2,5,3,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7011893,152.20418856982084,8614
309,31,691,4,86,3,1,4,4821,1,3,6,4,5,2,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5972498,145.92217985524198,7034
310,31,106,3,62,2,2,1,6410,0,3,9,1,2,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7941031,142.91459234788346,9160
